
air_quality,air_quality_raw,comfort,humidity,light,light_digital,light_raw,noise,noise_db,temperature,timestamp,people,occupancy_status
bom,108,bom,35.0,bom,0,154,baixo,31.89419,21.9,2026-05-16 12:47:14,0,
bom,140,bom,35.0,bom,0,147,baixo,33.10881,21.9,2026-05-16 12:47:44,0,
bom,124,bom,35.0,bom,0,147,baixo,33.5117,21.9,2026-05-16 12:48:14,0,
bom,104,bom,35.0,bom,0,325,baixo,34.14517,21.9,2026-05-16 12:48:44,0,
bom,103,bom,35.0,bom,0,115,baixo,34.31613,21.9,2026-05-16 12:49:14,0,
bom,149,bom,35.0,bom,0,141,baixo,29.80572,21.9,2026-05-16 12:49:44,0,
bom,101,bom,35.0,bom,0,151,baixo,31.0715,21.9,2026-05-16 12:50:14,0,
bom,120,bom,35.0,bom,0,264,moderado,50.79,21.9,2026-05-16 12:50:44,0,
bom,141,bom,35.0,bom,0,141,baixo,30.83173,21.9,2026-05-16 12:51:14,0,
bom,149,bom,35.0,bom,0,143,baixo,32.5411,22.0,2026-05-16 12:51:44,0,
bom,127,bom,35.0,bom,0,149,baixo,30.66195,22.0,2026-05-16 12:52:14,0,
bom,73,bom,35.0,bom,0,147,baixo,30.74751,21.9,2026-05-16 12:52:44,0,
bom,105,bom,35.0,bom,0,127,baixo,34.44418,21.9,2026-05-16 12:53:14,0,
bom,119,bom,35.0,bom,0,150,baixo,33.59253,21.9,2026-05-16 12:53:44,0,
bom,145,bom,35.0,bom,0,151,baixo,33.11995,21.9,2026-05-16 12:54:14,0,
bom,115,bom,35.0,bom,0,147,baixo,32.9763,21.9,2026-05-16 12:54:44,0,
bom,103,bom,35.0,bom,0,170,baixo,32.98674,21.9,2026-05-16 12:55:15,0,
bom,91,bom,35.0,bom,0,152,baixo,32.28001,21.9,2026-05-16 12:55:45,0,
bom,106,bom,35.0,bom,0,0,baixo,32.35411,21.8,2026-05-16 12:56:15,0,
bom,125,bom,35.0,bom,0,143,baixo,31.22124,21.8,2026-05-16 12:56:45,0,
bom,152,bom,35.0,bom,0,140,baixo,30.81362,21.8,2026-05-16 12:57:15,0,
bom,123,bom,35.0,bom,0,141,moderado,38.06386,21.8,2026-05-16 12:57:45,0,
bom,101,bom,35.0,bom,0,153,baixo,33.29825,21.8,2026-05-16 12:58:15,0,
bom,121,bom,35.0,bom,0,133,baixo,32.53701,21.8,2026-05-16 12:58:45,0,
bom,127,bom,35.0,bom,0,135,baixo,30.71511,21.7,2026-05-16 12:59:15,0,
bom,105,bom,35.0,bom,0,139,baixo,32.97441,21.7,2026-05-16 12:59:45,0,
bom,141,bom,35.0,bom,0,139,baixo,34.29496,21.7,2026-05-16 13:00:15,0,
bom,109,bom,35.0,bom,0,70,baixo,32.63571,21.7,2026-05-16 13:00:45,0,
bom,135,bom,35.0,bom,0,153,baixo,33.95797,21.7,2026-05-16 13:01:15,0,
bom,123,bom,35.0,bom,0,150,baixo,30.86582,21.7,2026-05-16 13:01:45,0,
bom,109,bom,35.0,bom,0,149,baixo,32.21018,21.7,2026-05-16 13:02:15,0,
bom,115,bom,35.0,bom,0,151,baixo,31.47866,21.8,2026-05-16 13:02:45,0,
bom,111,bom,35.0,bom,0,130,moderado,35.37229,21.7,2026-05-16 13:03:15,0,
bom,155,bom,35.0,bom,0,142,baixo,32.8351,21.8,2026-05-16 13:03:45,0,
bom,111,bom,35.0,bom,0,154,baixo,32.66262,21.8,2026-05-16 13:04:15,0,
bom,117,bom,35.0,bom,0,155,baixo,31.21063,21.8,2026-05-16 13:04:45,0,
bom,93,bom,35.0,bom,0,155,baixo,32.51406,21.8,2026-05-16 13:05:15,0,
bom,117,bom,35.0,bom,0,77,baixo,30.38674,21.8,2026-05-16 13:05:45,0,
bom,123,bom,35.0,bom,0,153,moderado,36.63018,21.9,2026-05-16 13:06:15,0,
bom,153,bom,35.0,bom,0,135,moderado,36.21581,21.9,2026-05-16 13:06:45,0,
bom,143,bom,35.0,bom,0,155,moderado,38.02573,21.9,2026-05-16 13:07:15,0,
bom,123,bom,35.0,bom,0,139,baixo,29.52506,21.9,2026-05-16 13:07:45,0,
bom,127,bom,35.0,bom,0,143,baixo,30.82457,21.8,2026-05-16 13:08:15,0,
bom,135,bom,35.0,bom,0,141,baixo,32.92912,21.9,2026-05-16 13:08:45,0,
bom,117,bom,35.0,bom,0,153,baixo,31.5111,21.9,2026-05-16 13:09:15,0,
bom,123,bom,35.0,bom,0,141,baixo,34.61541,21.9,2026-05-16 13:09:45,0,
bom,88,bom,35.0,bom,0,332,baixo,31.75774,22.0,2026-05-16 13:10:15,0,
bom,77,bom,35.0,bom,0,147,baixo,33.85408,22.0,2026-05-16 13:10:45,0,
bom,122,bom,35.0,bom,0,159,baixo,31.59358,21.9,2026-05-16 13:11:15,0,
bom,98,bom,35.0,bom,0,149,baixo,31.80049,21.9,2026-05-16 13:11:45,0,
